channel_id	message_id
1096901726331736244	1096902677398568992
1094386065592307822	1096939763707158538
1097232287969583318	1097232420387954738
1094386065592307822	1097259985416757358
1090802718660108409	1097266989375946862
1097232287969583318	1097268027491369110
1097232287969583318	1097268086069022812
1090802718660108409	1097268250267627631
993648913594732584	1097268367552950384
1097905497350361090	1097905722395725856
961999505815908362	1099074258908479609
1099085569465778308	1099085661270704168
1099085569465778308	1099085713787584542
1099085569465778308	1099085873976455268
1099085569465778308	1099086651663323339
1099085569465778308	1099086874108231690
1099085569465778308	1099087041196724338
1099085569465778308	1099089451579342929
1099085569465778308	1099089508332474449
961999505815908362	1099106278879543366
1094687086692548748	1099106436614737940
1099085569465778308	1099480984480665620
1099085569465778308	1099481035663753216
1095190392741314650	1099502850880585758
1097845990964330557	1099503740588933140
1098043173160366121	1099503776378921031
1097796910275891210	1099503905546715269
1097691201513197608	1099503994256236554
1097865415079776337	1099508727796740217
1097794975082758215	1099595448664207411
1094687086692548748	1099853620113068142
1094687086692548748	1099856147609034923
1097794975082758215	1099860263659905025
1097691201513197608	1099865122291335238
1097845990964330557	1099865354001453056
1097796910275891210	1099868031196348437
1098043173160366121	1099945955131932712
1099085569465778308	1100095768540491897
1099085569465778308	1100172830672433295
1099085569465778308	1100172877371822113
1099085569465778308	1100201127217205250
1094386082780553246	1100201508609474580
1097794975082758215	1100225238442193018
1097691201513197608	1100228535341301890
1097845990964330557	1100237040588705933
1097691475422220330	1100239003476824064
1098043173160366121	1100311173083181106
1099085569465778308	1100312097310654475
1097865415079776337	1100388227656974356
1099085569465778308	1100526214046826506
1099085569465778308	1100527852388106405
1099085569465778308	1100528520175824896
1099085569465778308	1100528955691372564
1099085569465778308	1100529013769896037
1099085569465778308	1100530096487546961
1099085569465778308	1100530152083046500
1099085569465778308	1100530519629893692
1099085569465778308	1100537304138928228
1099085569465778308	1100537414344257630
1099085569465778308	1100537495025881200
1099085569465778308	1100542035615813842
1099085569465778308	1100542135163428975
1099085569465778308	1100543130987667586
1099085569465778308	1100543211593793608
1099085569465778308	1100545416036102207
1099085569465778308	1100545586312269895
1099085569465778308	1100545673411174400
1099085569465778308	1100546507347865630
1099085569465778308	1100546806020051024
1099085569465778308	1100547457307394048
1099085569465778308	1100547533467566081
1099085569465778308	1100548936751657021
1099085569465778308	1100549586482892830
1099085569465778308	1100550530377465887
1099085569465778308	1100551384169979974
1099085569465778308	1100555107298447452
1099085569465778308	1100555399842766989
1099085569465778308	1100555426438844498
1099085569465778308	1100555809047449740
1099085569465778308	1100556840305176677
1099085569465778308	1100557249677635584
1099085569465778308	1100557361241927720
1099085569465778308	1100557464103047209
1099085569465778308	1100557511658049566
1099085569465778308	1100558764886732890
1099085569465778308	1100558822407421983
1099085569465778308	1100558882658603048
1099085569465778308	1100559548823122001
1099085569465778308	1100560098197250048
1099085569465778308	1100563870130643115
